profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
high_risk,7.000000000000001,24,0.0,0,17,7,0.375,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,1
high_risk,11.5,24,0.0,0,18,6,0.5416666666666666,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,2
high_risk,8.300000000000002,24,0.0,0,19,5,0.4166666666666667,0.0,0.0,0.0,0.25,RuleBased,27,3
high_risk,6.000000000000003,24,0.0,0,18,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,4
high_risk,9.300000000000002,24,0.0,0,18,6,0.4583333333333333,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,5
high_risk,7.000000000000001,24,0.0,0,17,7,0.375,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,6
high_risk,8.1,24,0.0,0,17,7,0.4166666666666667,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,7
high_risk,6.000000000000002,24,0.0,0,19,5,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,8
high_risk,7.0,24,0.0,0,16,8,0.375,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,9
high_risk,7.000000000000002,24,0.0,0,17,7,0.375,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,10
high_risk,2.699999999999999,24,0.0,0,18,6,0.20833333333333334,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,11
high_risk,8.200000000000003,24,0.0,0,18,6,0.4166666666666667,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,12
high_risk,4.900000000000002,24,0.0,0,18,6,0.2916666666666667,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,13
high_risk,6.0000000000000036,24,0.0,0,18,6,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,14
high_risk,7.100000000000002,24,0.0,0,18,6,0.375,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,15
high_risk,2.799999999999999,24,0.0,0,19,5,0.20833333333333334,0.0,0.0,0.0,0.25,RuleBased,27,16
high_risk,4.7,24,0.0,0,16,8,0.2916666666666667,0.0,0.0,0.0,0.5,RuleBased,27,17
high_risk,5.000000000000002,24,0.0,0,19,5,0.2916666666666667,0.0,0.0,0.0,0.25,RuleBased,27,18
high_risk,5.8,24,0.0,0,16,8,0.3333333333333333,0.0,0.0,0.0,0.5,RuleBased,27,19
shock_like,5.450000000000003,24,0.0,0,16,8,0.5,0.041666666666666664,0.0,0.0,0.375,RuleBased,27,0
